역이름,역지역,lat,long,호선
과천역,수도권,37.4328735001529,126.996610343398,04호선
정부과천청사역,수도권,37.4264939139217,126.989854488907,04호선
인덕원역,수도권,37.4014797519481,126.976666306687,04호선
평촌역,수도권,37.3942322968183,126.963794473939,04호선
범계역,수도권,37.3897765383406,126.950765206422,04호선
금정역,수도권,37.3724555868554,126.943460747528,04호선
삼동역,수도권,37.4086775154071,127.203359037744,경강선
경기광주역,수도권,37.3989402284654,127.253273621089,경강선
초월역,수도권,37.3733683173439,127.299905180106,경강선
곤지암역,수도권,37.3505359521273,127.346246812641,경강선
신둔도예촌역,수도권,37.3156050837436,127.405222655085,경강선
이천역,수도권,37.2642222250614,127.442149821859,경강선
여주역,수도권,37.2828596957647,127.62852003343,경강선
구로역,수도권,37.5033280243545,126.882291119347,01호선
가산디지털단지역,수도권,37.4803887400743,126.882643680055,01호선
금천구청역,수도권,37.4561799500543,126.893599593129,01호선
석수역,수도권,37.4350857189035,126.90230723405,01호선
관악역,수도권,37.4195571394685,126.908495489831,01호선
안양역,수도권,37.401853193434,126.922634762501,01호선
명학역,수도권,37.3844532109689,126.935592797832,01호선
금정역,수도권,37.3724555868554,126.943460747528,01호선
의왕역,수도권,37.3203421093152,126.947967475613,01호선
성균관대역,수도권,37.3003289994931,126.971012976824,01호선
화서역,수도권,37.2839872655598,126.989603013382,01호선
수원역,수도권,37.2657867038031,127.000090190749,01호선
독산역,수도권,37.4659611473931,126.889471139645,01호선
세류역,수도권,37.2438725206491,127.013795188267,01호선
군포역,수도권,37.3541850663191,126.948508477572,01호선
병점역,수도권,37.2067454948774,127.033186851871,01호선
세마역,수도권,37.187117263775,127.043426806993,01호선
오산대역,수도권,37.1693396260189,127.063075717411,01호선
송탄역,수도권,37.0757054527557,127.054271459719,01호선
서정리역,수도권,37.0565492930081,127.052863705224,01호선
평택역,수도권,36.9909679456145,127.085282090336,01호선
성환역,수도권,36.916122379095,127.126877790465,01호선
직산역,수도권,36.8709220503975,127.14380576372,01호선
두정역,수도권,36.8335918342985,127.149071859029,01호선
천안역,수도권,36.8089943586122,127.146827684755,01호선
당정역,수도권,37.3436790011333,126.948357655292,01호선
서동탄역,수도권,37.1957279421118,127.051856774263,01호선
광명역,수도권,37.4164369211351,126.884799479023,01호선
산본역,수도권,37.3580157018612,126.933041817991,04호선
대야미역,수도권,37.3279651196109,126.916888493064,04호선
반월역,수도권,37.3123673429765,126.903819948122,04호선
상록수역,수도권,37.3028523388998,126.866587593057,04호선
한대앞역,수도권,37.3097570214788,126.853670620172,04호선
중앙역,수도권,37.3160084809025,126.838496396948,04호선
고잔역,수도권,37.3167972714743,126.823016567504,04호선
초지역,수도권,37.3206629744686,126.80594908949,04호선
안산역,수도권,37.3270130414371,126.788872916065,04호선
신길온천역,수도권,37.3376222448823,126.767041475711,04호선
정왕역,수도권,37.3518085060046,126.742911898934,04호선
오이도역,수도권,37.3616918424846,126.738385506047,04호선
수리산역,수도권,37.3505507556783,126.925621928603,04호선
오이도역,수도권,37.3616918424846,126.738385506047,수인선
개봉역,수도권,37.4946344799821,126.858693356963,01호선
오류동역,수도권,37.4943827932767,126.844807477983,01호선
역곡역,수도권,37.4853071505875,126.812059338728,01호선
부천역,수도권,37.4839780556595,126.783072729615,01호선
송내역,수도권,37.4876132028813,126.753030639866,01호선
부평역,수도권,37.4894418243737,126.724326592211,01호선
백운역,수도권,37.4833280348289,126.707276374028,01호선
주안역,수도권,37.4650388163816,126.679947643466,01호선
제물포역,수도권,37.4667222404173,126.656948338954,01호선
동인천역,수도권,37.4754068295241,126.632602470436,01호선
인천역,수도권,37.4761495749499,126.616816630533,01호선
구일역,수도권,37.4962509036903,126.869682064958,01호선
세종대왕릉역,수도권,37.2936227977261,127.570641519645,경강선
오산역,수도권,37.1447027564949,127.066612100655,01호선
진위역,수도권,37.1100682181691,127.06235148447,01호선
동암역,수도권,37.4706849292696,126.702871709229,01호선
소사역,수도권,37.482793087788,126.795626202003,01호선
부개역,수도권,37.4884698252674,126.740725591772,01호선
간석역,수도권,37.464696355987,126.693513421034,01호선
도원역,수도권,37.4687697921083,126.642514822715,01호선
온수역,수도권,37.4919566907461,126.823825338009,01호선
중동역,수도권,37.4866635779738,126.764521602065,01호선
도화역,수도권,37.4661066864842,126.668571461535,01호선
서울숲역,수도권,37.5436349863299,127.044741683677,분당선
압구정로데오역,수도권,37.5275085746723,127.040591450907,분당선
강남구청역,수도권,37.5172008632289,127.041287183507,분당선
선정릉역,수도권,37.5109290398758,127.043613714302,분당선
가천대역,수도권,37.4485553966264,127.126686575598,분당선
태평역,수도권,37.4397783922336,127.127733967247,분당선
모란역,수도권,37.4340274873996,127.129961399904,분당선
야탑역,수도권,37.4113592441031,127.128724893214,분당선
서현역,수도권,37.3850010247088,127.123417906034,분당선
수내역,수도권,37.3784687717688,127.114284330024,분당선
정자역,수도권,37.3661666006259,127.108079384783,분당선
미금역,수도권,37.3500734029357,127.109004370819,분당선
이매역,수도권,37.3947099349286,127.12729606911,분당선
구성역,수도권,37.298969852535,127.10568228858,분당선
신갈역,수도권,37.2861339496318,127.111280218134,분당선
상갈역,수도권,37.2618082437676,127.108719212195,분당선
청명역,수도권,37.2595251647421,127.078955458006,분당선
영통역,수도권,37.2514926997707,127.071327398854,분당선
망포역,수도권,37.2458239558382,127.056850262151,분당선
매탄권선역,수도권,37.2524983006233,127.040804144693,분당선
수원시청역,수도권,37.2619082048643,127.030843654285,분당선
매교역,수도권,37.2655153241199,127.015896062558,분당선
달월역,수도권,37.3800159245433,126.745389964029,수인선
월곶역,수도권,37.3918134963283,126.74270758579,수인선
소래포구역,수도권,37.4009294022636,126.73348308512,수인선
인천논현역,수도권,37.4006519717694,126.722551492881,수인선
호구포역,수도권,37.4016277462904,126.708678709295,수인선
남동인더스파크역,수도권,37.4077387430964,126.695213952196,수인선
원인재역,수도권,37.4123688424567,126.68787555936,수인선
청량리역,수도권,37.5807185198462,127.048499848096,분당선
보정역,수도권,37.3127713305833,127.108318762458,분당선
연수역,수도권,37.4179126667421,126.678747524614,수인선
송도역,수도권,37.4299544246079,126.654675746817,수인선
인하대역,수도권,37.4483205697851,126.649754461755,수인선
숭의역,수도권,37.4607923513233,126.638393301309,수인선
인천역,수도권,37.4761495749499,126.616816630533,수인선
방학역,수도권,37.6674311601371,127.044317183294,01호선
도봉역,수도권,37.6791974925121,127.045525808977,01호선
도봉산역,수도권,37.6895585326698,127.046053675471,01호선
망월사역,수도권,37.7102083547787,127.047404669624,01호선
회룡역,수도권,37.7237950762834,127.047277212627,01호선
의정부역,수도권,37.7383552881432,127.045947746215,01호선
가능역,수도권,37.7483927208896,127.044274646711,01호선
녹양역,수도권,37.7593852598143,127.042261194277,01호선
양주역,수도권,37.7741241429389,127.044721308837,01호선
덕계역,수도권,37.8187525902328,127.056673506557,01호선
덕정역,수도권,37.8431840486326,127.061554773951,01호선
지행역,수도권,37.8918743050254,127.055660861893,01호선
동두천중앙역,수도권,37.9017663228673,127.056418741871,01호선
보산역,수도권,37.9141449311302,127.057156006911,01호선
동두천역,수도권,37.9276060650776,127.054914346206,01호선
원당역,수도권,37.653099388064,126.842913931542,03호선
대곡역,수도권,37.631681128995,126.810920972324,03호선
백석역,수도권,37.6429587368303,126.788117923412,03호선
마두역,수도권,37.6522375070419,126.77759814216,03호선
정발산역,수도권,37.6594734121857,126.773405982778,03호선
주엽역,수도권,37.6701350355631,126.761245434965,03호선
대화역,수도권,37.6761429324264,126.747487417179,03호선
방화역,수도권,37.5775887548875,126.81280121976,05호선
개화산역,수도권,37.5725335465697,126.806814324288,05호선
김포공항역,수도권,37.5619477391215,126.801906881417,05호선
송정역,수도권,37.5611540020654,126.812412256202,05호선
마곡역,수도권,37.5602178056843,126.824683361642,05호선
발산역,수도권,37.5586687177515,126.8377251087,05호선
우장산역,수도권,37.5488098724086,126.836320627782,05호선
화곡역,수도권,37.5416435540232,126.840432411284,05호선
원흥역,수도권,37.6506849598556,126.873016181785,03호선
까치산역,수도권,37.5322270449167,126.846426169396,05호선
신정역,수도권,37.5250131753674,126.856079401594,05호선
